5.00,3.50,1.30,0.30
4.50,2.30,1.30,0.30
4.40,3.20,1.30,0.20
5.00,3.50,1.60,0.60
5.10,3.80,1.90,0.40
4.80,3.00,1.40,0.30
5.10,3.80,1.60,0.20
4.60,3.20,1.40,0.20
5.30,3.70,1.50,0.20
5.00,3.30,1.40,0.20
5.50,2.60,4.40,1.20
6.10,3.00,4.60,1.40
5.80,2.60,4.00,1.20
5.00,2.30,3.30,1.00
5.60,2.70,4.20,1.30
5.70,3.00,4.20,1.20
5.70,2.90,4.20,1.30
6.20,2.90,4.30,1.30
5.10,2.50,3.00,1.10
5.70,2.80,4.10,1.30
6.70,3.10,5.60,2.40
6.90,3.10,5.10,2.30
5.80,2.70,5.10,1.90
6.80,3.20,5.90,2.30
6.70,3.30,5.70,2.50
6.70,3.00,5.20,2.30
6.30,2.50,5.00,1.90
6.50,3.00,5.20,2.00
6.20,3.40,5.40,2.30
5.90,3.00,5.10,1.80
