3,male,Mr. Owen Harris Braund,22,7.25,0
1,female,Mrs. John Bradley (Florence Briggs Thayer) Cumings,38,71.28,1
3,female,Miss. Laina Heikkinen,26,7.93,1
1,female,Mrs. Jacques Heath (Lily May Peel) Futrelle,35,53.1,1
3,male,Mr. William Henry Allen,35,8.05,0
3,male,Mr. James Moran,27,8.46,0
1,male,Mr. Timothy J McCarthy,54,51.86,0
3,male,Master. Gosta Leonard Palsson,2,21.08,0
3,female,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,27,11.13,1
2,female,Mrs. Nicholas (Adele Achem) Nasser,14,30.07,1
3,female,Miss. Marguerite Rut Sandstrom,4,16.7,1
1,female,Miss. Elizabeth Bonnell,58,26.55,1
3,male,Mr. William Henry Saundercock,20,8.05,0
3,male,Mr. Anders Johan Andersson,39,31.28,0
3,female,Miss. Hulda Amanda Adolfina Vestrom,14,7.85,0
2,female,Mrs. (Mary D Kingcome) Hewlett,55,16,1
3,male,Master. Eugene Rice,2,29.13,0
2,male,Mr. Charles Eugene Williams,23,13,1
3,female,Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,31,18,0
3,female,Mrs. Fatima Masselmani,22,7.23,1
2,male,Mr. Joseph J Fynney,35,26,0
2,male,Mr. Lawrence Beesley,34,13,1
3,female,Miss. Anna McGowan,15,8.03,1
1,male,Mr. William Thompson Sloper,28,35.5,1
3,female,Miss. Torborg Danira Palsson,8,21.08,0
3,female,Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,38,31.39,1
3,male,Mr. Farred Chehab Emir,26,7.23,0
1,male,Mr. Charles Alexander Fortune,19,263,0
3,female,Miss. Ellen O'Dwyer,24,7.88,1
3,male,Mr. Lalio Todoroff,23,7.9,0
1,male,Don. Manuel E Uruchurtu,40,27.72,0
1,female,Mrs. William Augustus (Marie Eugenie) Spencer,48,146.52,1
3,female,Miss. Mary Agatha Glynn,18,7.75,1
2,male,Mr. Edward H Wheadon,66,10.5,0
1,male,Mr. Edgar Joseph Meyer,28,82.17,0
1,male,Mr. Alexander Oskar Holverson,42,52,0
